PROJ_ID,POINT_ID,TOP,BASE,Legend,LineType,Description,Classification,Origin1,Color,Classification.1,PrimaryNameQualifier,PrimaryName,PrimaryNameSuffix,ParticleSizeMin,ParticleSizeJoiner,ParticleSizeMax,ParticleSizeMaxValue,ParticleSizeUniformity,ParticleShapeMin,ParticleShapeJoiner,ParticleShapeMax,PlasticityMin,PlasticityJoiner,PlasticityMax,SecondaryComponent1Name,SecondaryComponent1Description,SecondaryComponent2Name,SecondaryComponent2Description,MinorComponent1Qualifier,MinorComponent1Name,MinorComponent1Description,MinorComponent2Qualifier,MinorComponent2Name,MinorComponent2Description,MinorOther,Odour,Staining,Structure,Remarks,RockColor,RockQualifier,RockName,RockSuffix,RockGrainSizeMin,RockGrainSizeJoiner,RockGrainSizeMax,RockTexture,RockFabric,RockStructure,RockOdour,RockStaining,RockRemarks
S#239126,BH02,0.0,0.3,CI,0,"FILL- Gravelly  CLAY  CI: medium plasticity, fine to medium sized gravel, brown,  trace brick fragments, inorganic.",CI,Fill,brown,CI,,clay,,,,,,,,,,medium,,,gravelly,,,,,,,,,,,,,,Trace brick fragments Inorganic,,,,,,,,, ,,,,
S#239126,BH02,0.3,1.7,CI-CH,0,"None  CLAY  CI-CH: medium to high plasticity, red brown slightly pale brown, with medium sized gravel, trace fine grained sand, inorganic.",CI-CH,Residual,red brown slightly pale brown,CI-CH,,clay,,,,,,,,,,medium,to,high,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH02,1.7,2.5,CH,0,"None  CLAY  CH: high plasticity, red brown with purple and light grey, trace fine to medium sized gravel, trace fine grained sand, inorganic.",CH,Residual,red brown with purple and light grey,CH,,clay,,,,,,,,,,high,,,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH02,2.5,5.0,CH,0,"None  CLAY  CH: high plasticity, orange brown with light grey and purple, trace fine to medium sized gravel, trace fine grained sand, inorganic.",CH,Residual,orange brown with light grey and purple,CH,,clay,,,,,,,,,,high,,,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH04,0.0,0.1,GW,0,"FILL- Sandy  GRAVEL  GW: fine to coarse sized, fine to coarse grained sand, loose, grey,  (crushed rock).",GW,Fill,grey,GW,,gravel,,,,,,,sub-angular,to,angular,,,,sandy,,,,,,,,,,,,,,(Crushed Rock),,,,,,,,, ,,,,
S#239126,BH04,0.1,0.2,CL,0,"FILL- None  CLAY  CL: low plasticity, with fine to medium sized gravel, with fine to medium grained sand, dark brown, inorganic.",CL,Fill,dark brown,CL,,clay,,,,,,,,,,low,,,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH04,0.2,0.9,CI-CH,0,"None  CLAY  CI-CH: medium to high plasticity, brown with orange, inorganic.",CI-CH,Residual,brown with orange,CI-CH,,clay,,,,,,,,,,medium,to,high,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH04,0.9,2.2,CH,0,"None  CLAY  CH: high plasticity, orange brown with light grey, trace fine sized gravel, trace fine grained sand, inorganic.",CH,Residual,orange brown with light grey,CH,,clay,,,,,,,,,,high,,,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH04,2.2,5.0,CH,0,"None  CLAY  CH: high plasticity, orange brown with light grey, trace fine sized gravel, inorganic.",CH,Residual,orange brown with light grey,CH,,clay,,,,,,,,,,high,,,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH06,0.0,0.8,CL,0,"FILL- None  CLAY  CL: low plasticity, with medium sized gravel, brown,  concrete at 0.6 for 50mm, inorganic.",CL,Fill,brown,CL,,clay,,,,,,,,,,low,,,none,,,,,,,,,,,,,,Concrete at 0.6 for 50mm Inorganic,,,,,,,,, ,,,,
S#239126,BH06,0.8,2.3,CI-CH,0,"None  CLAY  CI-CH: medium to high plasticity, red brown with light grey, trace fine sized gravel, trace fine grained sand, inorganic.",CI-CH,Residual,red brown with light grey,CI-CH,,clay,,,,,,,,,,medium,to,high,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH06,2.3,5.0,CH,0,"None  CLAY  CH: high plasticity, red brown with light grey, trace fine sized gravel, trace fine grained sand, inorganic.",CH,Residual,red brown with light grey,CH,,clay,,,,,,,,,,high,,,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH05,0.0,0.1,GW,0,"FILL- Sandy  GRAVEL  GW: fine to coarse sized, fine to coarse grained sand, medium dense, grey,  (crushed rock).",GW,Fill,grey,GW,,gravel,,,,,,,sub-angular,to,angular,,,,sandy,,,,,,,,,,,,,,(Crushed Rock),,,,,,,,, ,,,,
S#239126,BH05,0.1,0.3,CL,0,"FILL- None  CLAY  CL: low plasticity, trace fine sized gravel, red brown with light grey, inorganic.",CL,Fill,red brown with light grey,CL,,clay,,,,,,,,,,low,,,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH05,0.3,0.7,CI-CH,0,"FILL- None  CLAY  CI-CH: medium to high plasticity, with fine sized gravel, trace fine to medium grained sand, light brown, inorganic.",CI-CH,Fill,light brown,CI-CH,,clay,,,,,,,,,,medium,to,high,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH05,0.7,1.5,CH,0,"FILL- None  CLAY  CH: high plasticity, with fine sized gravel, trace fine to medium grained sand, dark brown, inorganic.",CH,Fill,dark brown,CH,,clay,,,,,,,,,,high,,,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH05,1.5,3.8,CH,0,"None  CLAY  CH: high plasticity, red brown with orange and light grey, trace fine sized gravel, inorganic.",CH,Residual,red brown with orange and light grey,CH,,clay,,,,,,,,,,high,,,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH05,3.8,5.0,CH,0,"None  CLAY  CH: high plasticity, pink red brown light grey, inorganic.",CH,Residual,pink red brown light grey,CH,,clay,,,,,,,,,,high,,,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH01,0.0,0.3,CI,0,"FILL- Gravelly  CLAY  CI: medium plasticity, fine to medium sized gravel, grey brown,  trace brick fragments, inorganic.",CI,Fill,grey brown,CI,,clay,,,,,,,,,,medium,,,gravelly,,,,,,,,,,,,,,Trace brick fragments Inorganic,,,,,,,,, ,,,,
S#239126,BH01,0.3,0.7,CI-CH,0,"FILL- None  CLAY  CI-CH: medium to high plasticity, trace fine to medium sized gravel, brown, inorganic.",CI-CH,Fill,brown,CI-CH,,clay,,,,,,,,,,medium,to,high,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH01,0.7,1.5,CI-CH,0,"None  CLAY  CI-CH: medium to high plasticity, light brown, inorganic.",CI-CH,Residual,light brown,CI-CH,,clay,,,,,,,,,,medium,to,high,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH01,1.5,2.0,CH,0,"None  CLAY  CH: high plasticity, red brown mottled orange grey, trace fine grained sand, inorganic.",CH,Residual,red brown mottled orange grey,CH,,clay,,,,,,,,,,high,,,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH01,2.0,5.0,CH,0,"None  CLAY  CH: high plasticity, red brown mottled grey white, inorganic,  pockets of iron staining.",CH,Residual,red brown mottled grey white,CH,,clay,,,,,,,,,,high,,,none,,,,,,,,,,,,,,Pockets of iron staining Inorganic,,,,,,,,, ,,,,
S#239126,BH03,0.0,0.3,CL,0,"FILL- Gravelly  CLAY  CL: low plasticity, fine to medium sized gravel, grey brown,  trace brick fragments, inorganic.",CL,Fill,grey brown,CL,,clay,,,,,,,,,,low,,,gravelly,,,,,,,,,,,,,,Trace brick fragments Inorganic,,,,,,,,, ,,,,
S#239126,BH03,0.3,0.5,CI,0,"None  CLAY  CI: medium plasticity, brown, trace fine sized gravel, inorganic.",CI,Residual,brown,CI,,clay,,,,,,,,,,medium,,,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH03,0.5,1.2,CI-CH,0,"None  CLAY  CI-CH: medium to high plasticity, light brown, trace fine to medium sized gravel, trace fine grained sand, inorganic.",CI-CH,Residual,light brown,CI-CH,,clay,,,,,,,,,,medium,to,high,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH03,1.2,1.5,CH,0,"None  CLAY  CH: high plasticity, red brown mottled orange grey, inorganic.",CH,Residual,red brown mottled orange grey,CH,,clay,,,,,,,,,,high,,,none,,,,,,,,,,,,,, Inorganic,,,,,,,,, ,,,,
S#239126,BH03,1.5,5.0,CH,0,"None  CLAY  CH: high plasticity, red brown mottled grey white, inorganic,  pockets of iron staining.",CH,Residual,red brown mottled grey white,CH,,clay,,,,,,,,,,high,,,none,,,,,,,,,,,,,,Pockets of iron staining Inorganic,,,,,,,,, ,,,,
